"player","statCategory","dkLine","probabilityOver","probabilityUnder","moreDraftableId","lessDraftableId","summaryMore","summaryLess","maxProb","etrLine","diff","percentageDiff","etrPoints","etrAssists","etrRebounds","etrThreePtMade","etrTurnovers","etrSteals","etrBlocks","etrMinutes","etrPosition","etrTeam","etrOpponent"
"Paolo Banchero","Points + Assists",27.5,"0.425","0.575",50570162,50570163,"50570162: Paolo Banchero / OVER 27.5 Points + Assists / 42.5%","50570163: Paolo Banchero / UNDER 27.5 Points + Assists / 57.5%",0.5746,26.6,-0.8999999999999986,-0.032727272727272674,20.7,5.9,7,1.46,2.99,0.87,0.62,34.5,"PF/SF","ORL","MIA"
"Paolo Banchero","Points + Rebounds",28.5,"0.432","0.568",50571206,50571207,"50571206: Paolo Banchero / OVER 28.5 Points + Rebounds / 43.2%","50571207: Paolo Banchero / UNDER 28.5 Points + Rebounds / 56.8%",0.568,27.7,-0.8000000000000007,-0.028070175438596516,20.7,5.9,7,1.46,2.99,0.87,0.62,34.5,"PF/SF","ORL","MIA"
"Paolo Banchero","Assists + Rebounds",12.5,"0.507","0.493",50571068,50571069,"50571068: Paolo Banchero / OVER 12.5 Assists + Rebounds / 50.7%","50571069: Paolo Banchero / UNDER 12.5 Assists + Rebounds / 49.3%",0.5074000000000001,12.9,0.40000000000000036,0.03200000000000003,20.7,5.9,7,1.46,2.99,0.87,0.62,34.5,"PF/SF","ORL","MIA"
"Paolo Banchero","Points + Assists + Rebounds",34.5,"0.435","0.565",50571214,50571215,"50571214: Paolo Banchero / OVER 34.5 Points + Assists + Rebounds / 43.5%","50571215: Paolo Banchero / UNDER 34.5 Points + Assists + Rebounds / 56.5%",0.5651,33.6,-0.8999999999999986,-0.02608695652173909,20.7,5.9,7,1.46,2.99,0.87,0.62,34.5,"PF/SF","ORL","MIA"
"Lauri Markkanen","Points",23.5,"0.385","0.615",50565016,50565017,"50565016: Lauri Markkanen / OVER 23.5 Points / 38.5%","50565017: Lauri Markkanen / UNDER 23.5 Points / 61.5%",0.6148,21.8,-1.6999999999999993,-0.07234042553191486,21.8,2.2,8,2.99,1.47,0.84,0.64,33,"PF/SF","UTA","MEM"
"Lauri Markkanen","Rebounds",7.5,"0.524","0.476",50567624,50567625,"50567624: Lauri Markkanen / OVER 7.5 Rebounds / 52.4%","50567625: Lauri Markkanen / UNDER 7.5 Rebounds / 47.6%",0.5244,8,0.5,0.06666666666666667,21.8,2.2,8,2.99,1.47,0.84,0.64,33,"PF/SF","UTA","MEM"
"Lauri Markkanen","Points + Rebounds",30.5,"0.442","0.558",50567654,50567655,"50567654: Lauri Markkanen / OVER 30.5 Points + Rebounds / 44.2%","50567655: Lauri Markkanen / UNDER 30.5 Points + Rebounds / 55.8%",0.5577,29.8,-0.6999999999999993,-0.022950819672131126,21.8,2.2,8,2.99,1.47,0.84,0.64,33,"PF/SF","UTA","MEM"
"Lauri Markkanen","Points + Assists",25.5,"0.401","0.599",50567662,50567663,"50567662: Lauri Markkanen / OVER 25.5 Points + Assists / 40.1%","50567663: Lauri Markkanen / UNDER 25.5 Points + Assists / 59.9%",0.599,24,-1.5,-0.058823529411764705,21.8,2.2,8,2.99,1.47,0.84,0.64,33,"PF/SF","UTA","MEM"
"Lauri Markkanen","Assists + Rebounds",9.5,"0.535","0.465",50567678,50567679,"50567678: Lauri Markkanen / OVER 9.5 Assists + Rebounds / 53.5%","50567679: Lauri Markkanen / UNDER 9.5 Assists + Rebounds / 46.5%",0.5351,10.2,0.6999999999999993,0.07368421052631571,21.8,2.2,8,2.99,1.47,0.84,0.64,33,"PF/SF","UTA","MEM"
"Lauri Markkanen","Points + Assists + Rebounds",32.5,"0.453","0.547",50567710,50567711,"50567710: Lauri Markkanen / OVER 32.5 Points + Assists + Rebounds / 45.3%","50567711: Lauri Markkanen / UNDER 32.5 Points + Assists + Rebounds / 54.7%",0.5467,32,-0.5,-0.015384615384615385,21.8,2.2,8,2.99,1.47,0.84,0.64,33,"PF/SF","UTA","MEM"
"Desmond Bane","Points",23.5,"0.409","0.591",50569792,50569793,"50569792: Desmond Bane / OVER 23.5 Points / 40.9%","50569793: Desmond Bane / UNDER 23.5 Points / 59.1%",0.5907,22.2,-1.3000000000000007,-0.055319148936170244,22.2,4.5,4.6,3.53,1.92,1.05,0.51,33.5,"SG/SF","MEM","UTA"
"Desmond Bane","Rebounds",4.5,"0.479","0.521",50567622,50567623,"50567622: Desmond Bane / OVER 4.5 Rebounds / 47.9%","50567623: Desmond Bane / UNDER 4.5 Rebounds / 52.1%",0.5206,4.6,0.09999999999999964,0.022222222222222143,22.2,4.5,4.6,3.53,1.92,1.05,0.51,33.5,"SG/SF","MEM","UTA"
"Desmond Bane","Points + Rebounds",27.5,"0.450","0.550",50567666,50567667,"50567666: Desmond Bane / OVER 27.5 Points + Rebounds / 45.0%","50567667: Desmond Bane / UNDER 27.5 Points + Rebounds / 55.0%",0.5504,26.799999999999997,-0.7000000000000028,-0.02545454545454556,22.2,4.5,4.6,3.53,1.92,1.05,0.51,33.5,"SG/SF","MEM","UTA"
"Desmond Bane","Assists + Rebounds",9.5,"0.416","0.584",50567674,50567675,"50567674: Desmond Bane / OVER 9.5 Assists + Rebounds / 41.6%","50567675: Desmond Bane / UNDER 9.5 Assists + Rebounds / 58.4%",0.5837,9.1,-0.40000000000000036,-0.04210526315789478,22.2,4.5,4.6,3.53,1.92,1.05,0.51,33.5,"SG/SF","MEM","UTA"
"Desmond Bane","Points + Assists",27.5,"0.440","0.560",50567702,50567703,"50567702: Desmond Bane / OVER 27.5 Points + Assists / 44.0%","50567703: Desmond Bane / UNDER 27.5 Points + Assists / 56.0%",0.5603,26.7,-0.8000000000000007,-0.029090909090909115,22.2,4.5,4.6,3.53,1.92,1.05,0.51,33.5,"SG/SF","MEM","UTA"
"Desmond Bane","Points + Assists + Rebounds",32.5,"0.427","0.573",50567706,50567707,"50567706: Desmond Bane / OVER 32.5 Points + Assists + Rebounds / 42.7%","50567707: Desmond Bane / UNDER 32.5 Points + Assists + Rebounds / 57.3%",0.5728,31.299999999999997,-1.2000000000000028,-0.03692307692307701,22.2,4.5,4.6,3.53,1.92,1.05,0.51,33.5,"SG/SF","MEM","UTA"
"Desmond Bane","Assists",4.5,"0.461","0.539",50573218,50573219,"50573218: Desmond Bane / OVER 4.5 Assists / 46.1%","50573219: Desmond Bane / UNDER 4.5 Assists / 53.9%",0.5389,4.5,0,0,22.2,4.5,4.6,3.53,1.92,1.05,0.51,33.5,"SG/SF","MEM","UTA"
"Fred VanVleet","Points",16.5,"0.422","0.578",50563378,50563379,"50563378: Fred VanVleet / OVER 16.5 Points / 42.2%","50563379: Fred VanVleet / UNDER 16.5 Points / 57.8%",0.5778,15.8,-0.6999999999999993,-0.04242424242424238,15.8,7.6,3.5,2.97,1.68,1.46,0.71,35,"PG","HOU","CHA"
"Fred VanVleet","Rebounds",3.5,"0.446","0.554",50563396,50563397,"50563396: Fred VanVleet / OVER 3.5 Rebounds / 44.6%","50563397: Fred VanVleet / UNDER 3.5 Rebounds / 55.4%",0.5538,3.5,0,0,15.8,7.6,3.5,2.97,1.68,1.46,0.71,35,"PG","HOU","CHA"
"Fred VanVleet","Blocks",0.5,"0.475","0.525",50567504,50567505,"50567504: Fred VanVleet / OVER 0.5 Blocks / 47.5%","50567505: Fred VanVleet / UNDER 0.5 Blocks / 52.5%",0.5252,0.71,0.20999999999999996,0.41999999999999993,15.8,7.6,3.5,2.97,1.68,1.46,0.71,35,"PG","HOU","CHA"
"Fred VanVleet","Assists + Rebounds",11.5,"0.427","0.573",50567552,50567553,"50567552: Fred VanVleet / OVER 11.5 Assists + Rebounds / 42.7%","50567553: Fred VanVleet / UNDER 11.5 Assists + Rebounds / 57.3%",0.5728,11.1,-0.40000000000000036,-0.0347826086956522,15.8,7.6,3.5,2.97,1.68,1.46,0.71,35,"PG","HOU","CHA"
